2,Attenuation,21,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
3,Borehole,22,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
4,Bulk mains,22,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
5,Capital spares,12,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
6,Capital spares,14,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
7,Capital spares,15,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
8,Capital spares,16,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
9,Capital spares,17,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
10,Capital spares,18,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
11,Capital spares,19,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
12,Capital spares,20,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
13,Capital spares,21,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
14,Capital spares,22,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
15,Core layers,16,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
16,Dams and weirs,22,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
17,Data centres,16,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
18,Distribution,22,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
19,Distribution layers,16,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
20,Drainage collection,17,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
21,Drainage collection,21,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
22,Effluent licences,3,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
23,General buildings and open spaces,12,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
24,HV substations,15,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
25,HV switching stations,15,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
26,HV transmission conductors,15,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
27,Improved property,10,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
28,LV networks,15,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
29,LV networks,17,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
30,MV networks,15,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
31,MV networks,17,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
32,MV substations,15,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
33,MV substations,17,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
34,MV switching stations,15,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
35,MV switching stations,17,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
36,Outfall sewers,19,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
37,Piers,14,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
38,Power plants,15,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
39,Promenade,14,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
40,PRV station,22,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
41,Pump stations,19,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
42,Pump stations,22,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
43,Rail furniture,17,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
44,Rail lines,17,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
45,Rail structures,17,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
46,Reservoirs,22,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
47,Reticulation,19,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
48,Revetments,14,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
49,Road furniture,18,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
50,Road structures,18,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
51,Roads,18,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
52,Sand pumps,14,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
53,Servitudes,4,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
54,Solid waste licences,3,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
55,Stormwater conveyance,21,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
56,Toilet facilities,19,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
57,Unimproved property,10,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
58,"Waste transfer stations, processing facilities, and landfill sites",20,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
59,Waste-water treatment works,19,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
60,Water rights,3,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
61,Water treatment works,22,1,2020-01-28 15:31:06.077,1,NULL,NULL,1
62,Furniture and Fitting,23,1,2021-05-07 15:33:45.847,199,NULL,NULL,NULL
63,Kitchen Appliances,23,1,2021-05-07 15:34:22.767,199,NULL,NULL,NULL
64,Office Equipment,23,1,2021-05-07 15:34:46.073,199,NULL,NULL,NULL
65,Security Item,24,1,2021-05-07 15:46:42.990,199,NULL,NULL,NULL
66,Plant Machinery and Equipment,25,1,2021-05-07 15:47:19.863,199,NULL,NULL,NULL
67,Motor Vehicles,26,1,2021-05-07 15:47:51.720,199,NULL,NULL,NULL
68,Taxi Ranks - Bus Terminals,11,1,2021-06-11 14:24:00.937,199,NULL,NULL,NULL
69,Testing Stations,11,1,2021-06-11 14:36:16.297,199,NULL,NULL,NULL
70,Cemeteries - Crematoria,11,1,2021-06-14 10:31:28.507,199,NULL,NULL,NULL
71,Centres,11,1,2021-06-14 10:31:47.530,199,NULL,NULL,NULL
72,Clinics - Care Centres,11,1,2021-06-14 10:32:04.147,199,NULL,NULL,NULL
73,Halls,11,1,2021-06-14 10:32:19.257,199,NULL,NULL,NULL
74,Libraries,11,1,2021-06-14 10:32:51.397,199,NULL,NULL,NULL
75,Parks,11,1,2021-06-14 10:33:11.723,199,NULL,NULL,NULL
76,Public Open Space,11,1,2021-06-14 10:33:35.600,199,NULL,NULL,NULL
77,Stalls,11,1,2021-06-14 10:34:04.440,199,NULL,NULL,NULL
78,Outdoor Facilities,13,1,2021-06-14 10:35:30.493,199,NULL,NULL,NULL
79,Halls,27,1,2021-06-14 11:04:01.583,199,NULL,NULL,NULL
80,Municipal Offices,2,1,2021-06-14 11:04:36.103,199,NULL,NULL,NULL
81,Computer Equipment,28,1,2021-06-15 17:00:42.773,199,NULL,NULL,NULL
82,Audio Visual Equipment,24,1,2021-06-15 17:01:05.740,199,NULL,NULL,NULL
83,Security Measures,29,1,2021-11-11 08:42:21.377,199,NULL,NULL,NULL
84,Community Facilities,11,1,2022-05-19 14:11:03.487,199,NULL,NULL,NULL
85,Halls,31,1,2022-06-07 12:46:56.730,251,NULL,NULL,NULL
86,Testing Stations,31,1,2022-06-07 12:47:12.300,251,NULL,NULL,NULL
87,Taxi Ranks - Bus Terminals,31,1,2022-06-07 12:47:29.503,251,NULL,NULL,NULL
88,Community Facilities,31,1,2022-06-07 12:47:52.727,251,NULL,NULL,NULL
89,Outdoor Facilities,30,1,2022-06-07 12:48:34.070,251,NULL,NULL,NULL
90,Land,32,1,2022-10-04 12:06:35.383,252,NULL,NULL,NULL
91,Nursery,11,1,2022-10-05 11:11:06.730,252,NULL,NULL,NULL
92,Security Item,29,1,2022-10-05 16:26:31.793,252,NULL,NULL,NULL
93,Other assets,33,1,2022-10-06 08:32:24.480,252,NULL,NULL,NULL
94,Machinery And Electrical Equipment,25,1,2022-10-06 10:09:26.530,252,NULL,NULL,NULL
95,Furniture And Fittings,25,1,2022-10-06 10:09:50.907,252,NULL,NULL,NULL
96,Municipal Jewellery,8,1,2022-10-06 12:26:31.690,252,NULL,NULL,NULL
97,Animal Pound,31,1,2022-10-07 12:45:36.703,252,NULL,NULL,NULL
98,Drainage,13,1,2022-10-07 14:22:28.957,252,NULL,NULL,NULL
99,Buildings,13,1,2022-10-07 14:22:42.800,252,NULL,NULL,NULL
100,External Facilities,13,1,2022-10-07 14:22:54.173,252,NULL,NULL,NULL
101,Animal Pound,11,1,2022-10-10 09:09:16.113,252,NULL,NULL,NULL
102,Culturally Significant Buildings,7,1,2022-10-10 10:08:15.223,252,NULL,NULL,NULL
103,Markets,11,1,2022-11-17 13:18:00.887,199,NULL,NULL,NULL
104,Computer Software,38,1,2022-11-30 12:39:03.970,199,NULL,NULL,NULL
105,Land,11,1,2024-04-15 11:16:40.990,562,NULL,NULL,0
106,Municipal Offices,11,1,2024-04-15 18:04:11.327,562,NULL,NULL,0
107,LV Networks,39,1,2024-04-18 12:27:13.830,562,NULL,NULL,0
108,Social Housing,41,1,2024-04-18 12:27:29.233,562,NULL,NULL,0
109,Municipal Offices,42,1,2024-04-18 12:27:44.043,562,NULL,NULL,0
110,Roads,40,1,2024-04-19 14:34:23.713,562,NULL,NULL,0
111,Furniture and Office Equipment,43,1,2024-04-19 16:03:44.020,562,NULL,NULL,0
112,Computer Equipment,44,1,2024-04-19 16:04:00.970,562,NULL,NULL,0
113,Machinery and Equipment,45,1,2024-04-19 16:04:07.887,562,NULL,NULL,0
114,Motor Vehicles,46,1,2024-04-19 16:04:14.760,562,NULL,NULL,0
115,Housing,2,1,2024-10-07 18:26:00.003,199,NULL,NULL,0
116,Investment Property,10,1,2024-10-07 18:29:17.567,199,NULL,NULL,0
117,Parks,31,1,2024-10-07 18:50:57.303,199,NULL,NULL,0
118,Building Roof,11,1,2025-01-28 17:53:01.497,271,NULL,NULL,0
119,Furniture and fitting,48,1,2025-02-17 11:24:43.233,271,NULL,NULL,0
120,General buildings and open spaces,11,1,2025-02-26 10:04:28.690,271,2025-02-26 10:36:57.853,271,0
121,Community Assets,50,1,2025-03-12 08:19:31.760,271,NULL,NULL,0
