PropertyTypeOfUse_ID,Description,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,ZoneCode
1,Residential,1,2018-08-10 12:47:34.000,1,NULL,NULL,R
2,Business,1,2018-08-10 12:47:34.000,1,NULL,NULL,B
3,Small Business,1,2018-08-10 12:47:34.000,1,NULL,NULL,M
4,Goverment,1,2018-08-10 12:47:34.000,1,NULL,NULL,G
5,School,1,2018-08-10 12:47:34.000,1,NULL,NULL,S
6,Church,1,2018-08-10 12:47:34.000,1,NULL,NULL,C
7,Informal House,1,2018-08-10 12:47:34.000,1,NULL,NULL,I
8,Flats,1,2018-08-10 12:47:34.000,1,2024-07-17 07:54:13.430,182,F
9,Public Hospital,1,2018-08-10 12:47:34.000,1,2024-07-17 07:58:08.153,182,PH
10,Farm,1,2018-08-10 12:47:34.000,1,NULL,NULL,A
11,Industrial,1,2018-08-10 12:47:34.000,1,NULL,NULL,D
12,Municipal,1,2018-08-10 12:47:34.000,1,NULL,NULL,U
13,None,1,2018-08-10 12:47:34.000,1,NULL,NULL,N
14,Sundry Debtors,1,2018-08-11 10:17:43.173,2,NULL,NULL,Z
15,Education,1,2019-10-01 10:17:43.173,2,NULL,NULL,ED
16,Vacant Land,1,2019-10-01 10:17:43.173,2,2024-07-17 08:03:46.843,182,VA
17,Mixed Land Use,1,2019-10-01 10:17:43.173,2,NULL,NULL,MI
18,Office,1,2019-10-01 10:17:43.173,2,2024-07-17 07:54:02.973,182,OF
19,Pre-Primary / Creche,1,2019-10-01 10:17:43.173,2,NULL,NULL,PR
20,Bed and Breakfast,1,2019-10-01 10:17:43.173,2,NULL,NULL,BE
21,Public Place,1,2019-10-01 10:17:43.173,2,NULL,NULL,PU
22,Road Reserve,1,2019-10-01 10:17:43.173,2,NULL,NULL,RO
23,Swimming Pool,1,2019-10-01 10:17:43.173,2,NULL,NULL,SW
24,Tavern,1,2019-10-01 10:17:43.173,2,NULL,NULL,TA
25,Place of Worship,1,2019-10-01 10:17:43.173,2,NULL,NULL,PL
26,Secondary School,1,2019-10-01 10:17:43.173,2,NULL,NULL,SE
27,Workshop,1,2019-10-01 10:17:43.173,2,NULL,NULL,WO
28,Guest House,1,2019-10-01 10:17:43.173,2,NULL,NULL,GU
29,Primary School/Common Property,1,2019-10-01 10:17:43.173,2,NULL,NULL,PR
30,Hardware,1,2019-10-01 10:17:43.173,2,NULL,NULL,HA
31,Shop,1,2019-10-01 10:17:43.173,2,NULL,NULL,SH
32,Doctor Surgery,1,2019-10-01 10:17:43.173,2,NULL,NULL,DO
33,Bus Depot,1,2019-10-01 10:17:43.173,2,NULL,NULL,BU
34,Court,1,2019-10-01 10:17:43.173,2,NULL,NULL,CO
35,Service Station,1,2019-10-01 10:17:43.173,2,NULL,NULL,SE
36,Wholesale,1,2019-10-01 10:17:43.173,2,NULL,NULL,WH
37,Shopping Mall,1,2019-10-01 10:17:43.173,2,NULL,NULL,SH
38,Butchery,1,2019-10-01 10:17:43.173,2,NULL,NULL,BU
39,Bottle Store,1,2019-10-01 10:17:43.173,2,NULL,NULL,BO
40,College,1,2019-10-01 10:17:43.173,2,NULL,NULL,CO
41,Cemetery,1,2019-10-01 10:17:43.173,2,NULL,NULL,CE
42,Informal Settlement,1,2019-10-01 10:17:43.173,2,NULL,NULL,IN
43,Agriculture,1,2019-10-01 10:17:43.173,2,NULL,NULL,AG
44,Railway Reserve,1,2019-10-01 10:17:43.173,2,NULL,NULL,RA
45,Primary School,1,2019-10-01 10:17:43.173,2,NULL,NULL,PR
46,Power station,1,2019-10-01 10:17:43.173,2,NULL,NULL,PO
47,Warehouse,1,2019-10-01 10:17:43.173,2,NULL,NULL,WA
48,Sportsfield,1,2019-10-01 10:17:43.173,2,NULL,NULL,SP
49,Community Hall,1,2019-10-01 10:17:43.173,2,NULL,NULL,CO
50,Funeral Parlour,1,2019-10-01 10:17:43.173,2,NULL,NULL,FU
51,Clinic,1,2019-10-01 10:17:43.173,2,NULL,NULL,CL
52,Water Reservoirs/Treatment Works/Pump House,1,2019-10-01 10:17:43.173,2,2024-07-17 07:58:32.460,182,WATPH
53,Police Station,1,2019-10-01 10:17:43.173,2,NULL,NULL,PO
54,Medical Centre,1,2019-10-01 10:17:43.173,2,NULL,NULL,ME
55,Hotel,1,2019-10-01 10:17:43.173,2,NULL,NULL,HO
56,Quarry,1,2019-10-01 10:17:43.173,2,NULL,NULL,QU
57,Private School,1,2019-10-01 10:17:43.173,2,NULL,NULL,PR
58,Post Office,1,2019-10-01 10:17:43.173,2,NULL,NULL,PO
59,Health,1,2019-10-01 10:17:43.173,2,NULL,NULL,HE
60,Tanga Agricultural Depot,1,2019-10-01 10:17:43.173,2,NULL,NULL,TA
61,Pre-School,1,2019-10-01 10:17:43.173,2,NULL,NULL,PR
62,School Hostel,1,2019-10-01 10:17:43.173,2,NULL,NULL,SC
63,Taxi Rank,1,2019-10-01 10:17:43.173,2,NULL,NULL,TA
64,RDP Housing,1,2019-10-01 10:17:43.173,2,NULL,NULL,RD
65,Public Open Space,1,2019-10-01 10:17:43.173,2,NULL,NULL,PU
66,Correctional Services,1,2019-10-01 10:17:43.173,2,NULL,NULL,CO
67,Creche,1,2019-10-01 10:17:43.173,2,NULL,NULL,CR
68,Library,1,2019-10-01 10:17:43.173,2,NULL,NULL,LI
69,Open Space,1,2019-10-01 10:17:43.173,2,NULL,NULL,OP
70,Residential (Traditional rural village),1,2021-03-23 15:31:32.000,1,NULL,NULL,RTRV
71,Community hall/ANC Offices,1,2021-03-23 15:31:32.000,1,NULL,NULL,CHANC
72,Informal,1,2021-03-23 15:31:32.000,1,NULL,NULL,INF
73,Filling station,1,2021-03-23 15:31:32.000,1,NULL,NULL,FS
74,Youth centre,1,2021-03-23 15:31:32.000,1,NULL,NULL,YC
75,Offices/Common Property,1,2021-03-23 15:31:32.000,1,NULL,NULL,OCP
76,Offices - Burnt down Building,1,2021-03-23 15:31:32.000,1,NULL,NULL,OBBD
77,Stock Yard,1,2021-03-23 15:31:32.000,1,NULL,NULL,SY
78,Mixed Land Use (Res and Church),1,2021-03-23 15:31:32.000,1,NULL,NULL,MLURC
79,Bank,1,2021-03-23 15:31:32.000,1,NULL,NULL,BK
80,Public Placet Office,1,2021-03-23 15:31:32.000,1,NULL,NULL,PPO
81,Cuba flats,1,2021-03-23 15:31:32.000,1,NULL,NULL,CUBAF
82,Cuba,1,2021-03-23 15:31:32.000,1,NULL,NULL,CUBA
83,Ibeka municipal flats,1,2021-03-23 15:31:32.000,1,NULL,NULL,IF
84,Msobomvu flats,1,2021-03-23 15:31:32.000,1,NULL,NULL,MF
85,Umsobomvu Clinic,1,2021-03-23 15:31:32.000,1,NULL,NULL,UC
86,Road,1,2021-03-23 15:31:32.000,1,NULL,NULL,RD
87,Shed,1,2021-07-07 20:19:35.987,182,NULL,NULL,S01
88,University,1,2021-07-07 20:19:47.940,182,NULL,NULL,U01
89,Vacant Commercial Land,1,2024-07-17 07:52:48.443,182,NULL,NULL,VCL
90,Sectional Title - Residential,1,2024-07-17 07:53:45.903,182,2024-08-08 11:59:28.260,182,STR
91,Vacant Residential Land,1,2024-07-17 07:55:09.880,182,NULL,NULL,VRL
92,Provincial Roads Corridor,1,2024-07-17 07:55:53.990,182,NULL,NULL,PRC
93,Public Medical Clinic,1,2024-07-17 07:56:01.540,182,NULL,NULL,PMC
94,Multi Purpose,1,2024-07-17 07:56:50.663,182,NULL,NULL,MP
95,Public School,1,2024-07-17 07:57:12.817,182,NULL,NULL,PS
96,Vacant Farm Land,1,2024-07-17 07:57:25.477,182,NULL,NULL,VFL
97,Restaurant,1,2024-07-17 07:57:46.363,182,NULL,NULL,REST
98,Resort,1,2024-07-17 07:58:48.313,182,NULL,NULL,RT
99,Nursery,1,2024-07-17 07:59:05.993,182,NULL,NULL,NUR
100,Vacant Industrial Land,1,2024-07-17 07:59:18.170,182,NULL,NULL,VIL
101,Farms Residential,1,2024-07-17 07:59:31.260,182,NULL,NULL,FR
102,Ngubezulu Junior Secondary School,1,2024-07-17 07:59:47.833,182,NULL,NULL,NJSS
103,Salakuphathwa Junior Secondary School,1,2024-07-17 08:00:00.307,182,NULL,NULL,SJSS
104,Kiosk/Change Room,1,2024-07-17 08:01:08.213,182,2024-07-17 08:01:21.187,182,KC
105,Dwelling,1,2024-07-17 08:01:32.020,182,NULL,NULL,DW
106,Hospital,1,2024-07-17 08:04:13.217,182,NULL,NULL,HS
107,Tertiary Residence,1,2025-06-19 14:51:24.000,86,NULL,NULL,T
108,Student Accommodation,1,2025-06-19 14:51:24.000,86,NULL,NULL,E
109,Residential & Old Age Home,1,2025-06-19 14:51:24.000,86,NULL,NULL,O
110,Informal Settlements,1,2025-06-19 14:51:24.000,86,NULL,NULL,X
111,Construction Site,1,2025-06-19 14:51:24.000,86,NULL,NULL,K
112,Dilapidated Structure,1,2025-06-19 14:51:24.000,86,NULL,NULL,L
113,Church & Business,1,2025-06-19 14:51:24.000,86,NULL,NULL,Q
114,Bakery & Warehouse,1,2025-06-19 14:51:24.000,86,NULL,NULL,W
115,Tarven,1,2025-06-19 14:51:24.000,86,NULL,NULL,V
116,Temporary Structure,1,2025-06-19 14:51:24.000,86,NULL,NULL,Y
117,Church & Flats,1,2025-06-19 14:51:24.000,86,NULL,NULL,J
