UnitOfIssue_ID,UnitOfIssueDesc,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,UOMCode,MeasureCategoryCode,base,GroupDefaultUom,IsDeleted
1,Millimetre,1,2016-04-04 14:08:21.060,2,NULL,NULL,1,LNG,1,1,0
2,Centimetre,1,2016-04-04 14:08:51.263,2,NULL,NULL,CM,LNG,10,0,0
3,Meter,1,2016-04-04 14:09:20.720,2,NULL,NULL,MTR,LNG,1000,0,0
4,Kilometre,1,2016-04-04 14:10:10.963,2,NULL,NULL,KM,LNG,1000000,0,0
5,Each,1,2016-04-04 14:10:39.990,2,NULL,NULL,EA,UNT,1,1,0
6,Pair,1,2016-04-04 14:11:02.780,2,NULL,NULL,PS,UNT,2,0,0
7,Tens,1,2016-04-04 14:11:41.487,2,NULL,NULL,TN,UNT,10,0,0
8,Dozen,1,2016-04-04 14:12:08.477,2,NULL,NULL,DZ,UNT,12,0,0
9,Hundreds,1,2016-04-04 14:12:36.190,2,NULL,NULL,HS,UNT,100,0,0
10,Thousands,1,2016-04-04 14:14:34.307,2,NULL,NULL,TS,UNT,1000,0,0
11,Millions,1,2016-04-04 14:15:08.297,2,NULL,NULL,MN,UNT,1000000,0,0
12,Millilitre,1,2016-04-04 14:15:40.897,2,2024-10-07 19:05:48.493,NULL,ML,VOL,1,0,0
13,Litre,1,2016-04-04 14:16:22.400,2,2024-10-07 19:05:48.493,NULL,LT,VOL,1000,0,0
14,Kilolitre,1,2016-04-04 14:17:10.700,2,2024-10-07 19:05:48.493,NULL,KL,VOL,1000000,0,0
15,Milligram,1,2016-04-04 14:17:41.823,2,NULL,NULL,MG,WGT,1,1,0
16,Gram,1,2016-04-04 14:18:09.283,2,NULL,NULL,GR,WGT,1000,0,0
17,Kilogram,1,2016-04-04 14:18:35.780,2,NULL,NULL,KG,WGT,1000000,0,0
18,Ton,1,2016-04-04 14:19:19.030,2,NULL,NULL,TO,WGT,1000000000,0,0
19,Millimeter,1,2017-07-10 08:50:15.360,1,NULL,NULL,MM,LNG,1,1,0
20,Five Hundred Gram,1,2017-07-10 08:50:15.360,1,NULL,NULL,FGR,WGT,500000,0,0
21,Five Hundred Millilitre,1,2017-07-10 08:50:15.360,1,2024-10-07 19:05:48.493,NULL,FML,VOL,500,0,0
22,Forty Eight,1,2017-07-10 08:50:15.360,1,NULL,NULL,FA,UNT,48,0,0
23,Hundred Thousands,1,2017-07-10 08:50:15.360,1,NULL,NULL,HT,UNT,100000,0,0
24,Six,1,2017-07-10 08:50:15.360,1,NULL,NULL,SI,UNT,6,0,0
25,Three,1,2017-07-10 08:50:15.360,1,NULL,NULL,TR,UNT,3,0,0
26,Megalitres,1,2017-07-10 08:50:15.363,1,2024-10-07 19:05:48.493,NULL,MGL,VOL,1000000000,0,0
27,Square Meter,1,2018-04-21 09:59:24.220,2,NULL,NULL,m2,ARE,10000,1,0
28,Cubic Liter,1,2024-10-07 19:05:48.493,199,NULL,NULL,Cub L,VOL,30,1,0
