Ward_Id,WardDescription,Enabled,DateCaptured,CapturedID,DateModified,ModifierID,WardNumber,Councillor
1,Ward 1,1,2017-09-15 13:17:21.000,2,NULL,NULL,1,NULL
2,Ward 2,1,2017-09-15 13:17:21.000,2,NULL,NULL,2,NULL
3,Ward 3,1,2017-09-15 13:17:21.000,2,NULL,NULL,3,NULL
4,Ward 4,1,2017-09-15 13:17:21.000,2,NULL,NULL,4,NULL
5,Ward 5,1,2017-09-15 13:17:21.000,2,NULL,NULL,5,NULL
6,Ward 6,1,2017-09-15 13:17:21.000,2,NULL,NULL,6,NULL
7,Ward 7,1,2017-09-15 13:17:21.000,2,NULL,NULL,7,NULL
8,Ward 8,1,2017-09-15 13:17:21.000,2,NULL,NULL,8,NULL
9,Ward 9,1,2017-09-15 13:17:21.000,2,NULL,NULL,9,NULL
10,Ward 10,1,2017-09-15 13:17:21.000,2,NULL,NULL,10,NULL
11,Ward 11,1,2017-09-15 13:17:21.000,2,NULL,NULL,11,NULL
12,Ward 12,1,2017-09-15 13:17:21.000,2,NULL,NULL,12,NULL
13,Ward 13,1,2017-09-15 13:17:21.000,2,NULL,NULL,13,NULL
14,Ward 14,1,2017-09-15 13:17:21.000,2,NULL,NULL,14,NULL
15,Ward 15,1,2017-09-15 13:17:21.000,2,NULL,NULL,15,NULL
16,Ward 16,1,2017-09-15 13:17:21.000,2,NULL,NULL,16,NULL
17,Ward 17,1,2017-09-15 13:17:21.000,2,NULL,NULL,17,NULL
18,Ward 18,1,2017-09-15 13:17:21.000,2,NULL,NULL,18,NULL
19,Ward 19,1,2017-09-15 13:17:21.000,2,NULL,NULL,19,NULL
20,Ward 20,1,2017-09-15 13:17:21.000,2,NULL,NULL,20,NULL
21,Ward 21,1,2017-09-15 13:17:21.000,2,NULL,NULL,21,NULL
22,Ward 22,1,2017-09-15 13:17:21.000,2,NULL,NULL,22,NULL
23,Ward 23,1,2017-09-15 13:17:21.000,2,NULL,NULL,23,NULL
24,Ward 24,1,2017-09-15 13:17:21.000,2,NULL,NULL,24,NULL
25,Ward 25,1,2017-09-15 13:17:21.000,2,NULL,NULL,25,NULL
26,Ward 26,1,2017-09-15 13:17:21.000,2,NULL,NULL,26,NULL
27,Ward 27,1,2017-09-15 13:17:21.000,2,NULL,NULL,27,NULL
28,Ward 28,1,2017-09-15 13:17:21.000,2,NULL,NULL,28,NULL
29,Ward 29,1,2017-09-15 13:17:21.000,2,NULL,NULL,29,NULL
30,Ward 30,1,2017-09-15 13:17:21.000,2,NULL,NULL,30,NULL
31,Ward 31,1,2017-09-15 13:17:21.000,2,NULL,NULL,31,NULL
