InventoryHighValueId,InventoryID,TransferRefNumber,DateSubmit,RequestedBy,ToFunctionId,FromVote,ToVote,DateCapture,CaptureId,DateModified,ModifiedId,UniqueInventoryReference,AssetCategoryID,AssetClassID
2,430,HV/090725091757/2,2025-07-09 00:00:00.000,559,173,74280,142,2025-07-09 09:17:57.240,1165,NULL,NULL,HV/09/07/00001/2023-2024,21,14981
3,824,HV/090725171214/3,2024-06-30 00:00:00.000,181,173,74280,43932,2025-07-09 17:12:14.497,70,NULL,NULL,HV/09/07/00002/2023-2024,15,15389
4,824,HV/090725171223/4,2024-06-30 00:00:00.000,181,173,74280,43932,2025-07-09 17:12:23.783,70,NULL,NULL,HV/09/07/00003/2023-2024,15,15389
5,824,HV/090725171237/5,2024-06-30 00:00:00.000,181,173,74280,43932,2025-07-09 17:12:37.353,70,NULL,NULL,HV/09/07/00004/2023-2024,15,15389
6,73,HV/230725123808/6,2025-07-23 00:00:00.000,181,173,74280,43925,2025-07-23 12:38:08.227,70,NULL,NULL,HV/23/07/00005/2024-2025,15,15389
7,73,HV/230725124330/7,2025-06-30 00:00:00.000,181,173,74280,43925,2025-07-23 12:43:30.773,70,NULL,NULL,HV/23/07/00006/2024-2025,15,15389
8,690,HV/230725124844/8,2025-06-30 00:00:00.000,181,173,74280,43925,2025-07-23 12:48:44.190,70,NULL,NULL,HV/23/07/00007/2024-2025,15,15389
9,708,HV/230725125127/9,2025-06-30 00:00:00.000,181,173,74280,43925,2025-07-23 12:51:27.057,70,NULL,NULL,HV/23/07/00008/2024-2025,15,15389
10,929,HV/230725125419/10,2025-06-30 00:00:00.000,181,173,74280,43925,2025-07-23 12:54:19.313,70,NULL,NULL,HV/23/07/00009/2024-2025,15,15389
11,935,HV/230725125540/11,2025-06-30 00:00:00.000,181,173,74280,43925,2025-07-23 12:55:40.520,70,NULL,NULL,HV/23/07/00010/2024-2025,15,15389
12,690,HV/230725141647/12,2025-06-30 00:00:00.000,181,173,74280,43925,2025-07-23 14:16:47.517,70,NULL,NULL,HV/23/07/00011/2024-2025,15,15389
13,832,HV/280725173539/13,2025-07-28 00:00:00.000,181,173,74280,43925,2025-07-28 17:35:39.863,70,NULL,NULL,HV/28/07/00012/2024-2025,15,15389
14,832,HV/280725173834/14,2025-07-28 00:00:00.000,181,173,74280,43925,2025-07-28 17:38:34.970,70,NULL,NULL,HV/28/07/00013/2024-2025,15,15389
15,690,HV/280725174039/15,2025-06-30 00:00:00.000,181,173,74280,43925,2025-07-28 17:40:39.053,70,NULL,NULL,HV/28/07/00014/2024-2025,15,15389
16,690,HV/280725174407/16,2025-06-30 00:00:00.000,181,173,74280,43925,2025-07-28 17:44:07.313,70,NULL,NULL,HV/28/07/00015/2024-2025,15,15389
17,862,HV/280725174738/17,2025-06-30 00:00:00.000,181,173,74280,43925,2025-07-28 17:47:38.387,70,NULL,NULL,HV/28/07/00016/2024-2025,15,15389
18,112,HV/280725175009/18,2025-06-30 00:00:00.000,181,173,74280,43925,2025-07-28 17:50:09.713,70,NULL,NULL,HV/28/07/00017/2024-2025,15,15389
19,936,HV/280725175321/19,2025-06-30 00:00:00.000,181,173,74280,43925,2025-07-28 17:53:21.113,70,NULL,NULL,HV/28/07/00018/2024-2025,15,15389
20,426,HV/280725175437/20,2025-06-30 00:00:00.000,181,173,74280,43925,2025-07-28 17:54:37.483,70,NULL,NULL,HV/28/07/00019/2024-2025,15,15389
21,929,HV/300725125232/21,2025-06-30 00:00:00.000,181,173,74280,43925,2025-07-30 12:52:32.363,70,NULL,NULL,HV/30/07/00020/2024-2025,15,15389
22,538,HV/300725125435/22,2025-06-30 00:00:00.000,181,173,74280,43925,2025-07-30 12:54:35.553,70,NULL,NULL,HV/30/07/00021/2024-2025,15,15389
23,539,HV/300725125632/23,2025-06-30 00:00:00.000,181,173,74280,43925,2025-07-30 12:56:32.450,70,NULL,NULL,HV/30/07/00022/2024-2025,15,15389
24,539,HV/300725142149/24,2025-06-30 00:00:00.000,181,173,74280,43925,2025-07-30 14:21:49.317,70,NULL,NULL,HV/30/07/00023/2024-2025,15,15389
25,538,HV/080825091101/25,2025-06-30 00:00:00.000,181,173,74280,43925,2025-08-08 09:11:01.027,70,NULL,NULL,HV/08/08/00024/2024-2025,15,15389
